"juror_id","trial__id","struck_by","race","defendant_race","accused","fam_accused","know_def","fam_law_enforcement","death_hesitation","strike_eligibility","know_vic","know_wit","fam_crime_victim","crime_victim","prior_info","gender","same_race","struck_state_bin","struck_state","is_black"
3269,65,"Juror chosen to serve on jury","White","Black",FALSE,FALSE,FALSE,FALSE,FALSE,"Both State and Defense",FALSE,FALSE,FALSE,FALSE,FALSE,"Female",FALSE,0,"not_state",FALSE
3271,65,"Juror chosen to serve on jury","White","Black",FALSE,FALSE,FALSE,FALSE,FALSE,"Both State and Defense",FALSE,FALSE,FALSE,FALSE,FALSE,"Female",FALSE,0,"not_state",FALSE
3273,65,"Juror chosen to serve on jury","White","Black",FALSE,FALSE,FALSE,FALSE,FALSE,"Both State and Defense",FALSE,FALSE,FALSE,FALSE,FALSE,"Male",FALSE,0,"not_state",FALSE
3274,65,"Juror chosen to serve on jury","White","Black",FALSE,FALSE,FALSE,FALSE,FALSE,"Both State and Defense",FALSE,FALSE,FALSE,FALSE,FALSE,"Male",FALSE,0,"not_state",FALSE
3275,65,"Juror chosen to serve on jury","White","Black",FALSE,FALSE,TRUE,FALSE,FALSE,"Both State and Defense",FALSE,FALSE,FALSE,FALSE,FALSE,"Male",FALSE,0,"not_state",FALSE
3276,65,"Struck by the defense","White","Black",FALSE,FALSE,FALSE,FALSE,FALSE,"Both State and Defense",FALSE,TRUE,FALSE,TRUE,FALSE,"Male",FALSE,0,"not_state",FALSE
3266,65,"Struck by the state","White","Black",FALSE,TRUE,FALSE,FALSE,FALSE,"State",FALSE,FALSE,FALSE,TRUE,FALSE,"Female",FALSE,1,"state",FALSE
3270,65,"Struck by the state","Black","Black",FALSE,FALSE,TRUE,TRUE,FALSE,"State",FALSE,FALSE,FALSE,FALSE,FALSE,"Male",TRUE,1,"state",TRUE
1496,30,"Juror chosen to serve on jury","White","Black",FALSE,FALSE,FALSE,TRUE,FALSE,"Both State and Defense",FALSE,FALSE,FALSE,FALSE,FALSE,"Female",FALSE,0,"not_state",FALSE
1497,30,"Struck by the state","White","Black",FALSE,TRUE,FALSE,TRUE,FALSE,"State",FALSE,FALSE,TRUE,FALSE,FALSE,"Male",FALSE,1,"state",FALSE
